"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SLRTTO01","Total retail trade (Volume) sa, Index","AUT","Austria","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2010_100","2010=100",108.2647,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUT","Austria","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2010_100","2010=100",108.3645,,
"PRCNTO01","Production of total construction sa, Index","AUT","Austria","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",128.1,,
"PRCNTO01","Production of total construction sa, Index","AUT","Austria","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",127.8,,
"PRCNTO01","Production of total construction sa, Index","AUT","Austria","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",115.2,,
"PRCNTO01","Production of total construction sa, Index","AUT","Austria","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",100.5,,
"PRCNTO01","Production of total construction sa, Index","AUT","Austria","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",111.3,,
"PRCNTO01","Production of total construction sa, Index","AUT","Austria","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",115.8,,
"PRCNTO01","Production of total construction sa, Index","AUT","Austria","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",117.9,,
"PRCNTO01","Production of total construction sa, Index","AUT","Austria","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",120.7,,
"PRCNTO01","Production of total construction sa, Index","AUT","Austria","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",121.6,,
"PRINTO01","Production of total industry sa, Index","BEL","Belgium","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",112.4906,,
"PRINTO01","Production of total industry sa, Index","BEL","Belgium","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",113.4905,,
"PRINTO01","Production of total industry sa, Index","BEL","Belgium","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",107.3911,,
"PRINTO01","Production of total industry sa, Index","BEL","Belgium","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",95.29206,,
"PRINTO01","Production of total industry sa, Index","BEL","Belgium","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",107.691,,
"PRINTO01","Production of total industry sa, Index","BEL","Belgium","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",105.3912,,
"PRINTO01","Production of total industry sa, Index","BEL","Belgium","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",109.9908,,
"PRINTO01","Production of total industry sa, Index","BEL","Belgium","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",109.3909,,
"PRINTO01","Production of total industry sa, Index","BEL","Belgium","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",110.1908,,
"PRINTO01","Production of total industry sa, Index","BEL","Belgium","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2015_100","2015=100",117.7902,,
"PRMNTO01","Production in total manufacturing sa, Index","BEL","Belgium","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",111.6,,
"PRMNTO01","Production in total manufacturing sa, Index","BEL","Belgium","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",114.1,,
"PRMNTO01","Production in total manufacturing sa, Index","BEL","Belgium","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",105.1,,
"PRMNTO01","Production in total manufacturing sa, Index","BEL","Belgium","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",92,,
"PRMNTO01","Production in total manufacturing sa, Index","BEL","Belgium","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",104.7,,
